ward,year,item,category,location,cost
1,2012,Alley Resurfacing Menu,Alleys,N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE & W LE MOYNE ST,6354
1,2012,Alley Speed Hump Menu,Alleys,N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W IOWA ST,2800
1,2012,Bollard Menu,Misc.,ON W BELMONT AVE FROM 2441 W TO N CAMPBELL AV (2500 W),3150
1,2012,Curb & Gutter Menu,Street Resurfacing,ON N MAPLEWOOD AVE FROM W BELDEN AV (2300 N) TO W MEDILL AV (2334 N),19882
1,2012,Pavement Markings,Street Redesign,W CHARLESTON ST & N WESTERN AVE,1000
1,2012,Pavement Markings,Street Redesign,W ARMITAGE AVE & N MILWAUKEE AVE,400
1,2012,Pavement Markings,Street Redesign,W DIVERSEY PKWY & N ROCKWELL ST,600
1,2012,Sidewalk Menu,Sidewalk Repair,ON W BELDEN AVE FROM N TALMAN AV (2632 W) TO N WASHTENAW AV (2720 W),11954
1,2012,Sidewalk Menu,Sidewalk Repair,ON N WOOD ST FROM W BEACH AV (1422 N) TO W LE MOYNE ST (1508 N),10065
1,2012,Sidewalk Menu,Sidewalk Repair,ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N),1594
1,2012,Street Resurfacing Menu,Street Resurfacing,ON N CAMPBELL AVE FROM W NORTH AV (1600 N) TO W CORTLAND ST (1900 N),193749
1,2012,Street Resurfacing Menu,Street Resurfacing,ON N ROCKWELL ST FROM W CORTLAND ST (1900 N) TO W ARMITAGE AV (2000 N),73623
1,2012,Street Resurfacing Menu,Street Resurfacing,ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End (2726 W),10588
1,2012,Street Resurfacing Menu,Street Resurfacing,ON W LE MOYNE ST FROM N OAKLEY BV (2300 W) TO N CLAREMONT AV (2332 W),19195
1,2012,Street Resurfacing Menu,Street Resurfacing,ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO N MAPLEWOOD AV (2535 W),34143
1,2012,Street Resurfacing Menu,Street Resurfacing,ON N ROCKWELL ST FROM N MILWAUKEE AV (2125 N) TO W LYNDALE ST (2236 N),47986
1,2012,Street Speed Hump Menu,Street Redesign,ON N ELK GROVE AVE FROM N WOOD ST (1800 W) TO W NORTH AV (1600 N),3700
1,2012,Street Speed Hump Menu,Street Redesign,ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N),3700
1,2012,Street Speed Hump Menu,Street Redesign,ON N ROCKWELL ST FROM W FULLERTON AV (2400 N) TO W ALTGELD ST (2500 N),3700
1,2012,Street Speed Hump Menu,Street Redesign,ON W ST PAUL AVE FROM N WINNEBAGO AV (2269 W) TO N WESTERN AV (2400 W),3700
1,2012,Floodlight Menu,Lighting,W POTOMAC AVE & N LEAVITT ST,2500
1,2012,Floodlight Menu,Lighting,N CAMPBELL AVE & W IOWA ST,500
1,2012,Floodlight Menu,Lighting,,1000
1,2012,Pedestrian Countdown,Pedestrian Infrastructure,N WESTERN AVE & W NORTH AVE,15011
1,2012,Street Light Arterial,Lighting,W POTOMAC AVE & N LEAVITT ST,11000
1,2012,Street Light Residential Staggered Piggy Back Menu,Lighting,ON ROCKWELL FROM W BLOOMINGDALE AV (1800 N) TO W NORTH AV (1600 N),128000
1,2012,Street Light Upgrade,Lighting,ON WINCHESTER FROM W AUGUSTA BV (1000 N) TO W THOMAS ST (1100 N),1400
1,2012,Street Light Upgrade,Lighting,ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2064 N),700
1,2012,Street Light Upgrade,Lighting,ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2104 N),350
1,2012,Street Light Upgrade,Lighting,1300 N LEAVITT ST,700
1,2012,Street Light Upgrade,Lighting,N CAMPBELL AVE & W IOWA ST,400
1,2012,Street Light Upgrade,Lighting,ON SUPERIOR FROM N DAMEN AV (2000 W) TO N WOOD ST (1800 W),1400
1,2012,Chicago Park District,Parks,Haas Park Field House,605000
1,2012,School Projects,Misc.,Goethe School - Campus Park,100000
1,2012,School Projects Menu,Misc.,"LaSalle II Elementary School - playground )TPC= $25,000 2011-2013",155
2,2012,Alley Apron Menu,Alleys,ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W),11547
2,2012,Alley Apron Menu,Alleys,ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S),11545
2,2012,Alley Apron Menu,Alleys,ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S),8268
