ward,category,year,cost,total_spent,perc_spending
1,Alleys,2012,9154.0,1319999.0,0.6934853738525559
1,Lighting,2012,147950.0,1319999.0,11.208341824501382
1,Misc.,2012,103305.0,1319999.0,7.82614229253204
1,Parks,2012,605000.0,1319999.0,45.83336805558186
1,Pedestrian Infrastructure,2012,15011.0,1319999.0,1.1371978312104782
1,Sidewalk Repair,2012,23613.0,1319999.0,1.7888649915643877
1,Street Redesign,2012,16800.0,1319999.0,1.272728236915331
1,Street Resurfacing,2012,399166.0,1319999.0,30.239871393841966
1,Alleys,2013,438774.0,1320000.0,33.24045454545455
1,Bicycle Infrastructure,2013,50000.0,1320000.0,3.787878787878788
1,Lighting,2013,1550.0,1320000.0,0.11742424242424242
1,Misc.,2013,148808.0,1320000.0,11.273333333333333
1,Parks,2013,450000.0,1320000.0,34.090909090909086
1,Pedestrian Infrastructure,2013,6933.0,1320000.0,0.5252272727272727
1,Sidewalk Repair,2013,40743.0,1320000.0,3.086590909090909
1,Street Redesign,2013,29600.0,1320000.0,2.242424242424242
1,Street Resurfacing,2013,153592.0,1320000.0,11.635757575757575
1,Alleys,2014,1701.0,1319999.0,0.12886373398767725
1,Lighting,2014,500.0,1319999.0,0.03787881657486104
1,Misc.,2014,41860.0,1319999.0,3.1712145236473663
1,Parks,2014,372247.0,1319999.0,28.200551667084596
1,Pedestrian Infrastructure,2014,67429.0,1319999.0,5.10826144565261
1,Sidewalk Repair,2014,54123.0,1319999.0,4.100230378962409
1,Street Redesign,2014,9250.0,1319999.0,0.7007581066349293
1,Street Resurfacing,2014,772889.0,1319999.0,58.552241327455555
1,Alleys,2015,89661.0,1344004.0,6.6711855024241
1,Misc.,2015,194240.0,1344004.0,14.45233793947042
1,Misc. CDOT,2015,65059.0,1344004.0,4.840684997961316
1,Parks,2015,535000.0,1344004.0,39.8064291475323
1,Pedestrian Infrastructure,2015,600.0,1344004.0,0.044642724277606315
1,Sidewalk Repair,2015,101467.0,1344004.0,7.549605507126467
1,Street Redesign,2015,7400.0,1344004.0,0.5505935994238111
1,Street Resurfacing,2015,350577.0,1344004.0,26.08452058178398
1,Alleys,2016,396117.0,1253503.0,31.600801912719795
1,Lighting,2016,8500.0,1253503.0,0.6780996934191622
1,Misc.,2016,115687.0,1253503.0,9.229096380303837
1,Pedestrian Infrastructure,2016,13300.0,1253503.0,1.061026579114689
1,Sidewalk Repair,2016,87850.0,1253503.0,7.00835977257334
1,Street Redesign,2016,3850.0,1253503.0,0.3071392729016205
1,Street Resurfacing,2016,612199.0,1253503.0,48.83905343664913
1,Viaducts,2016,16000.0,1253503.0,1.276422952318423
1,Alleys,2017,399638.14,1319999.99,30.2756168960274
1,Beautification,2017,50000.0,1319999.99,3.78787881657484
1,Misc.,2017,79111.0,1319999.99,5.993257621161042
1,Misc. CDOT,2017,634.0,1319999.99,0.048030303394168965
1,Parks,2017,9300.0,1319999.99,0.7045454598829202
1,Pedestrian Infrastructure,2017,179338.0,1319999.99,13.586212224137972
1,Street Resurfacing,2017,601978.85,1319999.99,45.60445867882166
1,Alleys,2018,219138.71,1319999.99,16.601417550010737
1,Misc.,2018,71900.0,1319999.99,5.446969738234619
1,Parks,2018,550000.0,1319999.99,41.666666982323235
1,Pedestrian Infrastructure,2018,80322.67,1319999.99,6.085050803674627
1,Sidewalk Repair,2018,31299.12,1319999.99,2.371145472508678
1,Street Redesign,2018,7400.0,1319999.99,0.5606060648530763
1,Street Resurfacing,2018,359939.49,1319999.99,27.26814338839503
1,Alleys,2019,430640.82,1319999.99,32.62430479260837
1,Lighting,2019,500.0,1319999.99,0.0378787881657484
1,Misc.,2019,48681.35,1319999.99,3.6879810885453113
1,Parks,2019,250000.0,1319999.99,18.9393940828742
1,Pedestrian Infrastructure,2019,59030.0,1319999.99,4.471969730848255
1,Police Cameras,2019,1800.0,1319999.99,0.13636363739669422
