ward,alderperson,address,email,phone,websites
1,Daniel La Spata,"1958 N Milwaukee Ave, Chicago, IL 60647",info@the1stward.com,872-206-2685,"{website: https://www.the1stward.com/, facebook: https://www.facebook.com/The1stWard/, x: https://twitter.com/AldermanLaSpata, instagram: https://www.instagram.com/daniel.la.spata/}"
2,Brian Hopkins,"1400 N Ashland, Chicago, IL 60622",ward02@cityofchicago.org,312-643-2299,"{website: https://www.aldermanhopkins.com/, x: https://twitter.com/AldermanHopkins}"
3,Pat Dowell,"5046 S State St, Chicago, IL 60609",ward03@cityofchicago.org,773-373-9273,"{website: https://ward03chicago.com/, x: https://twitter.com/aldpatdowell3rd}"
4,Lamont J. Robinson,,ward04@cityofchicago.org,312-744-2690,"{website: https://www.robinson4thward.com/, x: https://twitter.com/lamontjrobinson, facebook: https://www.facebook.com/AldermanRobinson/, instagram: https://www.instagram.com/lamontjrobinson/}"
5,Desmon C. Yancy,"2101 E 71st St Unit D, Chicago, IL 60649",ward05@cityofchicago.org,312-744-6832,"{website: https://5thwardchicago.org/, facebook: https://www.facebook.com/AlderYancy5, x: https://twitter.com/yancyforthe5th, instagram: https://www.instagram.com/alderyancy5/}"
6,William E. Hall,,ward06@cityofchicago.org,312-744-0670,"{website: https://www.6wardchicago.com/, facebook: https://www.facebook.com/6WardCentral/, instagram: https://www.instagram.com/6wardcentral/}"
7,Gregory I. Mitchell,"2249 E 95th St, Chicago IL 60617",ward07@cityofchicago.org,773-731-7777,"{website: https://gregmitchell7thward.org/, facebook: https://www.facebook.com/AldGregMitchell/, x: https://twitter.com/AldGregMitchell}"
8,Michelle A. Harris,"8539 S Cottage Grove Ave, Chicago, IL 60619",ward08@cityofchicago.org,773-874-3300,"{website: https://aldermanmichelleharris.com/, x: https://twitter.com/aldermanharris, facebook: https://www.facebook.com/aldermanharris/}"
9,Anthony Beale,"34 E 112th Pl, Chicago, IL 60628",ward09@cityofchicago.org,773-785-1100,"{website: https://www.ward09.com/, facebook: https://www.facebook.com/AldBeale/, instagram: https://www.instagram.com/aldbeale/, x: https://twitter.com/Alderman_Beale}"
10,Peter Chico,"10500 S Ewing Ave, Chicago, IL 60617",ward10@cityofchicago.org,773-768-8138,"{website: https://www.aldermanchico.org/, facebook: https://www.facebook.com/aldermanpeterchico/, instagram: https://www.instagram.com/aldermanpeterchico/}"
11,Nicole Lee,"3659 S Halsted St, Chicago, IL 60609",ward11@cityofchicago.org,773-254-6677,"{website: https://votenicolelee.com/, facebook: https://www.facebook.com/AldNicoleLee/, instagram: https://www.instagram.com/votenicolelee11/, x: https://twitter.com/ald_nicolelee/}"
12,Julia M. Ramirez,"3868 S Archer Ave, Chicago, IL 60632",ward12@cityofchicago.org,312-273-9828,"{website: https://www.the12thward.org/, instagram: https://www.instagram.com/the12thward/, x: https://twitter.com/the12thward, facebook: https://www.facebook.com/the12thward}"
13,Marty Quinn,"6500 S Pulaski Rd, Chicago, IL 60629",ward13@cityofchicago.org,773-581-8000,"{website: https://www.martyandangie.com/}"
14,Jeylu B. Gutierrez,"4374 S Archer Ave (Temporary), Chicago, IL 60632",ward14@cityofchicago.org,773-236-0117,"{website: https://chicago14.com/, facebook: https://www.facebook.com/AldJeylu, x: https://twitter.com/JeyluFor14}"
15,Raymond A.Lopez,"2650 W 51st, St, Chicago, IL 60632",ward15@cityofchicago.org,773-823-1539,"{website: https://www.the15thward.org/, instagram: https://www.instagram.com/aldermanraymondlopez/, facebook: https://www.facebook.com/RaymondLopez15/, x: https://x.com/raymondalopez }"
16,Stephanie D. Coleman,"1137 W 63rd St Unit C, Chicago, IL 60621",info@16thWard.org,773-306-1981,"{website: https://www.16thward.org/, facebook: https://www.facebook.com/AldermanStephanieDColeman/, instagram: https://www.instagram.com/stephaniedcoleman/, x: https://twitter.com/AldSColeman16}"
17,David Moore,"1344 W 79th St, Chicago, IL 60620",ward17@cityofchicago.org,773-783-3672,"{website: https://www.17thwardalderman.com/, facebook: https://www.facebook.com/p/Alderman-David-Moore-100064140667699/, x: https://twitter.com/AldermanHMoore}"
18,Derrick G. Curtis,"8359 S Pulaski Rd, Chicago, IL 60652",ward18@cityofchicago.org,773-284-5057,"{website: https://www.derrickgcurtis.com/, facebook: https://www.facebook.com/derrick.curtis.18, x: https://twitter.com/aldcurtis18, youtube: https://www.youtube.com/@derrickcurtis7695/}"
19,Matthew O'Shea,"10400 S Western Ave, Chicago, IL 60643",ward19@cityofchicago.org,773-238-8766,"{website: https://www.19thwardmobile.com/, x: https://twitter.com/mattoshea19, instagram: https://www.instagram.com/oshea_matt/}"
